xpath,2009v1.0,2009v1.1,2009v1.2,2009v1.3,2009v1.4,2009v1.7,2010v3.2,2010v3.4,2010v3.6,2010v3.7,2011v1.2,2011v1.3,2011v1.4,2011v1.5,2012v2.0,2012v2.1,2012v2.2,2012v2.3,2012v3.0,2013v3.0,2013v3.1,2013v4.0,2014v5.0,2014v6.0,2015v2.0,2015v2.1
/RETURN/RETURNDATA/IRS990SCHEDULEB/@SOFTWAREVERSION,,,X 1036,X 607,X 480,X 2522,X 17892,X 6422,,,X 44391,,,X 13811,X 74437,X 2186,X 21517,,X 539,X 11248,X 79677,X 41716,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEB/@SOFTWAREVERSIONNUM,,,,,,,,,,,,,,,,,,,,,,,X 135909,X 55083,X 108176,X 67958
/RETURN/RETURNDATA/IRS990SCHEDULEB/SPCLRULEMETONETHIRDSUPRTTEST,,,,,,,X 1,,,,,,,,,,,,,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEB/TOTALUNDER1000CONTRIBUTIONS,,,,X 2,,,X 11,X 19,,,X 75,,,,,,X 11,,,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEB/TOTALUNDER1000CONTRIBUTIONSAMT,,,,,,,,,,,,,,,,,,,,,X 8,,,,,X 24
/RETURN/RETURNDATA/IRS990SCHEDULEC/AGGRAMTREPORTEDINDUESNOTICES,,,X 8,X 29,X 47,X 263,X 810,X 1345,X 2,X 128,X 4278,X 145,,X 1147,X 1603,X 6749,X 180,X 1012,X 51,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/AGGREGATEREPORTEDDUESNTCAMT,,,,,,,,,,,,,,,,,,,,X 5868,X 4020,X 3543,X 15070,X 4653,X 2317,X 16969
/RETURN/RETURNDATA/IRS990SCHEDULEC/AGREECARRYOVERPRIORYEARIND,,,,,,,,,,,,,,,,,,,,X 19292,X 19040,X 13609,X 59325,X 18312,X 9625,X 66797
/RETURN/RETURNDATA/IRS990SCHEDULEC/AGREETOCARRYOVERPRIORYEAR,,,X 32,X 88,X 117,X 789,X 3101,X 4510,X 58,X 951,X 20586,X 291,,X 4386,X 7332,X 23933,X 704,X 3308,X 133,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/AMOUNTOF4912TAX,,,,,,,X 1,X 3,,,X 8,,,X 3,,X 23,,,,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/AMOUNTOFMANAGERS4912TAX,,,,,,,X 1,X 3,,,X 8,,,X 3,,X 20,,,,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/AMOUNTTOBECARRIEDOVER,,,X 3,X 10,X 19,X 94,X 303,X 523,X 2,X 48,X 1545,X 46,,X 401,X 613,X 2372,X 63,X 254,X 20,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/AMTEXPENDEDFOR527ACTIVITIES,,,X 4,X 6,X 26,X 85,X 233,X 387,X 2,X 12,X 896,X 39,,X 305,X 423,X 1514,X 31,X 98,X 20,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/AMTOF4955TAX,,,X 2,,X 18,X 96,X 24,X 276,,X 30,X 241,X 10,,X 169,X 9,X 664,,X 20,X 16,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/AMTOF4955TAXONMANAGERS,,,X 2,,X 18,X 92,X 22,X 272,,X 24,X 231,X 10,,X 160,X 9,X 611,,X 20,X 11,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/AMTOFINTERNALFUNDSCONTRIBUTED,,,X 3,X 4,X 25,X 75,X 222,X 380,,X 20,X 895,X 40,,X 239,X 426,X 1560,X 59,X 129,X 26,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSLOBBYINGEXPENDGRP/CURRENTYEARAMT,,,,,,,,,,,,,,,,,,,,X 2104,X 1460,X 2945,X 5118,X 3651,X 893,X 5893
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSLOBBYINGEXPENDGRP/CURRENTYEARMINUS1AMT,,,,,,,,,,,,,,,,,,,,X 2068,X 1384,X 2922,X 5180,X 3537,X 883,X 5595
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSLOBBYINGEXPENDGRP/CURRENTYEARMINUS2AMT,,,,,,,,,,,,,,,,,,,,X 2008,X 1324,X 2756,X 4914,X 3532,X 822,X 5610
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSLOBBYINGEXPENDGRP/CURRENTYEARMINUS3AMT,,,,,,,,,,,,,,,,,,,,X 1904,X 1236,X 2708,X 4743,X 3400,X 756,X 5373
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSLOBBYINGEXPENDGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 2356,X 1904,X 3398,X 6417,X 4332,X 1170,X 7278
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSNONTAXABLEGRP/CURRENTYEARAMT,,,,,,,,,,,,,,,,,,,,X 4684,X 2984,X 7265,X 11757,X 9405,X 2031,X 13463
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSNONTAXABLEGRP/CURRENTYEARMINUS1AMT,,,,,,,,,,,,,,,,,,,,X 4548,X 2836,X 6889,X 11326,X 9091,X 1951,X 12879
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSNONTAXABLEGRP/CURRENTYEARMINUS2AMT,,,,,,,,,,,,,,,,,,,,X 4300,X 2716,X 6592,X 10807,X 8586,X 1850,X 12322
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSNONTAXABLEGRP/CURRENTYEARMINUS3AMT,,,,,,,,,,,,,,,,,,,,X 4048,X 2532,X 6331,X 10184,X 8255,X 1713,X 11802
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGGRASSROOTSNONTAXABLEGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 4892,X 3284,X 7520,X 12563,X 9779,X 2239,X 14343
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGLOBBYINGNONTAXABLEAMOUNTGRP/CURRENTYEARAMT,,,,,,,,,,,,,,,,,,,,X 4676,X 3024,X 7280,X 11774,X 9417,X 2031,X 13513
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGLOBBYINGNONTAXABLEAMOUNTGRP/CURRENTYEARMINUS1AMT,,,,,,,,,,,,,,,,,,,,X 4556,X 2896,X 6939,X 11417,X 9116,X 1951,X 13015
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGLOBBYINGNONTAXABLEAMOUNTGRP/CURRENTYEARMINUS2AMT,,,,,,,,,,,,,,,,,,,,X 4312,X 2756,X 6647,X 10908,X 8623,X 1850,X 12449
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGLOBBYINGNONTAXABLEAMOUNTGRP/CURRENTYEARMINUS3AMT,,,,,,,,,,,,,,,,,,,,X 4064,X 2584,X 6391,X 10291,X 8305,X 1706,X 11937
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGLOBBYINGNONTAXABLEAMOUNTGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 4888,X 3328,X 7550,X 12612,X 9809,X 2239,X 14425
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGTOTALLOBBYINGEXPENDGRP/CURRENTYEARAMT,,,,,,,,,,,,,,,,,,,,X 4072,X 2724,X 6348,X 10130,X 7990,X 1793,X 11392
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGTOTALLOBBYINGEXPENDGRP/CURRENTYEARMINUS1AMT,,,,,,,,,,,,,,,,,,,,X 4016,X 2540,X 6243,X 9924,X 7768,X 1708,X 10981
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGTOTALLOBBYINGEXPENDGRP/CURRENTYEARMINUS2AMT,,,,,,,,,,,,,,,,,,,,X 3836,X 2452,X 6017,X 9486,X 7601,X 1621,X 10707
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGTOTALLOBBYINGEXPENDGRP/CURRENTYEARMINUS3AMT,,,,,,,,,,,,,,,,,,,,X 3676,X 2296,X 5881,X 9116,X 7384,X 1463,X 10303
/RETURN/RETURNDATA/IRS990SCHEDULEC/AVGTOTALLOBBYINGEXPENDGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 4492,X 3092,X 6899,X 11514,X 8774,X 2083,X 12901
/RETURN/RETURNDATA/IRS990SCHEDULEC/CARRIEDOVERAMT,,,,,,,,,,,,,,,,,,,,X 2148,X 1268,X 1223,X 4928,X 1651,X 776,X 5710
/RETURN/RETURNDATA/IRS990SCHEDULEC/CORRECTIONMADE,X 1,,X 30,X 59,X 3,X 474,X 1481,X 680,X 58,X 830,X 8404,X 2,,X 2342,X 2894,X 681,X 66,X 101,X 16,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/CORRECTIONMADEIND,,,,,,,,,,,,,,,,,,,,X 8,X 2920,X 1826,X 4291,X 2340,X 4064,X 1325
/RETURN/RETURNDATA/IRS990SCHEDULEC/DIRECTCONTACTLEGISLATORS,X 2,X 1,X 278,X 131,X 136,X 2392,X 2009,X 5943,X 58,X 2174,X 15477,X 3033,X 3,X 7812,X 2486,X 17255,X 402,X 3713,X 181,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/DIRECTCONTACTLEGISLATORSAMOUNT,,X 1,X 97,X 47,X 56,X 904,X 474,X 2107,X 10,X 603,X 2698,X 197,,X 2626,X 1117,X 5485,X 113,X 1436,X 93,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/DIRECTCONTACTLEGISLATORSAMT,,,,,,,,,,,,,,,,,,,,X 2540,X 1732,X 6435,X 5936,X 8038,X 520,X 7155
/RETURN/RETURNDATA/IRS990SCHEDULEC/DIRECTCONTACTLEGISLATORSIND,,,,,,,,,,,,,,,,,,,,X 6460,X 7984,X 16275,X 20362,X 20205,X 1578,X 22780
/RETURN/RETURNDATA/IRS990SCHEDULEC/@DOCUMENTID,X 2,X 2,X 494,X 218,X 371,X 3828,X 6370,X 13190,X 58,X 2698,X 36732,X 3476,X 3,X 13887,X 13358,X 53273,X 2589,X 8821,X 426,X 31912,X 36288,X 39453,X 102059,X 50783,X 14454,X 115182
/RETURN/RETURNDATA/IRS990SCHEDULEC/@DOCUMENTNAME,,,,,,,,,,,,,,,,,,,,,,,X 5,,,X 57
/RETURN/RETURNDATA/IRS990SCHEDULEC/DUESASSESSMENTS,,,X 8,X 34,X 55,X 315,X 1171,X 1761,X 4,X 156,X 5976,X 164,,X 1477,X 2435,X 8977,X 287,X 1266,X 56,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/DUESASSESSMENTSAMT,,,,,,,,,,,,,,,,,,,,X 8048,X 5796,X 4672,X 20967,X 6110,X 3056,X 23534
/RETURN/RETURNDATA/IRS990SCHEDULEC/EXPENDED527ACTIVITIESAMT,,,,,,,,,,,,,,,,,,,,X 1324,X 656,X 885,X 3250,X 1091,X 269,X 3437
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM1120POLFILED,,,X 16,X 54,X 13,X 362,X 1655,X 1006,X 58,X 844,X 10144,X 73,,X 2300,X 5289,X 2639,X 167,X 743,X 51,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM1120POLFILEDIND,,,,,,,,,,,,,,,,,,,,X 1552,X 7936,X 3018,X 14922,X 4245,X 10390,X 8115
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM4720FILED,,,X 11,X 45,X 3,X 410,X 984,X 634,X 58,X 983,X 7849,X 57,,X 2157,X 1679,X 457,X 30,X 409,X 27,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM4720FILED4912TAX,,,X 21,X 54,X 9,X 564,X 1057,X 732,X 58,X 1102,X 7965,X 126,,X 2270,X 1309,X 895,X 64,X 432,X 28,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM4720FILED4912TAXIND,,,,,,,,,,,,,,,,,,,,X 4,X 1832,X 1357,X 2511,X 1581,X 1578,X 1284
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM4720FILED4955TAX,X 1,,X 39,X 61,X 3,X 477,X 1508,X 735,X 58,X 830,X 8582,X 2,,X 2345,X 2898,X 926,X 72,X 101,X 16,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM4720FILEDIND,,,,,,,,,,,,,,,,,,,,X 52,X 1792,X 1453,X 2815,X 1837,X 2466,X 1441
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM4720FILEDSECTION4955TAXIND,,,,,,,,,,,,,,,,,,,,X 8,X 3152,X 1886,X 4563,X 2419,X 4064,X 1675
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM990SCHEDULECPARTIV/EXPLANATION,X 1,,G 160,X 1,G 147,G 58,X 2,G 3494,X 28,X 14,G 3868,G 311,,G 2411,G 462,G 5232,G 102,G 1238,G 15,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM990SCHEDULECPARTIV/IDENTIFIER,,,X 5,G 89,G 147,G 55,G 996,X 21,X 6,X 14,G 867,X 9,,G 2264,G 742,G 2664,G 100,G 811,G 36,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/FORM990SCHEDULECPARTIV/RETURNREFERENCE,,,G 153,G 54,X 2,G 1821,G 168,G 1560,X 28,G 675,G 3100,G 207,,G 2063,G 548,G 4423,G 88,G 1078,G 10,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRANTSOTHERORGANIZATIONS,X 2,,X 277,X 131,X 136,X 2383,X 2000,X 5902,X 58,X 2158,X 15435,X 3029,X 3,X 7776,X 2486,X 17192,X 399,X 3681,X 181,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRANTSOTHERORGANIZATIONSAMOUNT,,,X 33,X 9,X 19,X 423,X 214,X 709,X 2,X 324,X 934,X 109,,X 1007,X 282,X 2053,X 7,X 731,X 65,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRANTSOTHERORGANIZATIONSAMT,,,,,,,,,,,,,,,,,,,,X 724,X 696,X 2685,X 2172,X 3313,X 153,X 2101
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRANTSOTHERORGANIZATIONSIND,,,,,,,,,,,,,,,,,,,,X 6388,X 7960,X 16224,X 20262,X 20132,X 1578,X 22601
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSCEILINGAMOUNT,,,X 59,X 34,X 83,X 881,X 762,X 2246,X 10,X 557,X 4232,X 159,,X 2971,X 2087,X 7717,X 140,X 1566,X 71,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSCEILINGAMT,,,,,,,,,,,,,,,,,,,,X 4892,X 3284,X 7520,X 12563,X 9779,X 2239,X 14343
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSLOBBYINGEXPENDITURES/CURRENTYEAR,,,X 57,X 20,X 18,X 346,X 288,X 965,X 2,X 329,X 1818,X 100,,X 1209,X 973,X 3047,X 77,X 747,X 41,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSLOBBYINGEXPENDITURES/CURRENTYEARMINUS1,,,X 55,X 20,X 22,X 338,X 277,X 930,X 2,X 295,X 1762,X 112,,X 1200,X 949,X 2937,X 73,X 756,X 20,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSLOBBYINGEXPENDITURES/CURRENTYEARMINUS2,,,X 52,X 17,X 19,X 280,X 244,X 877,X 2,X 267,X 1669,X 102,,X 1081,X 923,X 2829,X 77,X 747,X 20,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSLOBBYINGEXPENDITURES/CURRENTYEARMINUS3,,,X 52,X 17,X 15,X 269,X 228,X 752,X 2,X 255,X 1546,X 96,,X 992,X 912,X 2638,X 58,X 681,X 15,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSLOBBYINGEXPENDITURES/TOTAL,,,X 57,X 22,X 25,X 386,X 354,X 1023,X 2,X 379,X 2193,X 120,,X 1319,X 1190,X 3436,X 97,X 947,X 41,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSNONTAXABLEAMOUNT2/CURRENTYEAR,,,X 59,X 34,X 77,X 848,X 728,X 2172,X 10,X 547,X 3986,X 157,,X 2878,X 1956,X 7372,X 124,X 1504,X 71,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSNONTAXABLEAMOUNT2/CURRENTYEARMINUS1,,,X 57,X 31,X 69,X 806,X 673,X 2014,X 10,X 506,X 3786,X 157,,X 2766,X 1882,X 7034,X 129,X 1444,X 65,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSNONTAXABLEAMOUNT2/CURRENTYEARMINUS2,,,X 54,X 28,X 65,X 730,X 617,X 1881,X 10,X 474,X 3491,X 151,,X 2545,X 1761,X 6702,X 126,X 1364,X 60,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSNONTAXABLEAMOUNT2/CURRENTYEARMINUS3,,,X 54,X 27,X 62,X 687,X 557,X 1729,X 10,X 444,X 3228,X 145,,X 2397,X 1653,X 6207,X 102,X 1264,X 50,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSNONTAXABLEAMOUNT2/TOTAL,,,X 59,X 34,X 83,X 881,X 762,X 2246,X 10,X 557,X 4232,X 159,,X 2971,X 2087,X 7717,X 140,X 1566,X 71,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSNONTAXABLEAMOUNT/AFFILIATEDGROUPTOTALS,,,,X 5,X 11,X 148,X 73,X 191,X 2,X 154,X 260,X 22,,X 482,X 105,X 592,X 22,X 287,,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSNONTAXABLEAMOUNT/FILINGORGANIZATIONSTOTALS,,,X 59,X 38,X 78,X 823,X 759,X 2187,X 8,X 543,X 4201,X 151,,X 2887,X 2064,X 7598,X 167,X 1508,X 76,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSNONTAXABLEGRP/AFFILIATEDGROUPTOTALAMT,,,,,,,,,,,,,,,,,,,,X 244,X 208,X 877,X 711,X 1125,X 52,X 797
/RETURN/RETURNDATA/IRS990SCHEDULEC/GRASSROOTSNONTAXABLEGRP/FILINGORGANIZATIONSTOTALAMT,,,,,,,,,,,,,,,,,,,,X 4860,X 3168,X 7388,X 12282,X 9580,X 2000,X 14153
/RETURN/RETURNDATA/IRS990SCHEDULEC/INTERNALFUNDSCONTRIBUTEDAMT,,,,,,,,,,,,,,,,,,,,X 1456,X 724,X 788,X 3605,X 1032,X 361,X 4092
/RETURN/RETURNDATA/IRS990SCHEDULEC/LIMITEDCONTROLPROVISIONSAPPIND,,,,,,,,,,,,,,,,,,,,X 48,X 24,X 90,X 107,X 84,X 20,X 103
/RETURN/RETURNDATA/IRS990SCHEDULEC/LIMITEDCONTROLPROVISIONSAPPLY,,,,,X 1,X 9,X 4,X 37,,X 34,X 34,X 4,,X 70,X 6,X 86,X 4,X 48,,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGCEILINGAMOUNT,,,X 59,X 36,X 83,X 881,X 773,X 2256,X 10,X 557,X 4266,X 161,,X 2971,X 2110,X 7740,X 156,X 1563,X 71,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGCEILINGAMT,,,,,,,,,,,,,,,,,,,,X 4888,X 3324,X 7550,X 12602,X 9809,X 2239,X 14419
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGNONTAXABLEAMOUNT2/CURRENTYEAR,,,X 59,X 36,X 77,X 848,X 740,X 2182,X 10,X 547,X 4011,X 157,,X 2872,X 1978,X 7372,X 142,X 1504,X 71,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGNONTAXABLEAMOUNT2/CURRENTYEARMINUS1,,,X 57,X 33,X 69,X 809,X 683,X 2029,X 10,X 511,X 3835,X 161,,X 2781,X 1901,X 7059,X 138,X 1444,X 65,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGNONTAXABLEAMOUNT2/CURRENTYEARMINUS2,,,X 54,X 30,X 65,X 738,X 631,X 1901,X 10,X 479,X 3539,X 153,,X 2563,X 1790,X 6745,X 145,X 1379,X 60,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGNONTAXABLEAMOUNT2/CURRENTYEARMINUS3,,,X 54,X 28,X 62,X 695,X 572,X 1746,X 10,X 455,X 3280,X 147,,X 2422,X 1683,X 6262,X 121,X 1289,X 50,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGNONTAXABLEAMOUNT2/TOTAL,,,X 59,X 36,X 83,X 881,X 773,X 2256,X 10,X 557,X 4268,X 161,,X 2971,X 2110,X 7743,X 156,X 1563,X 71,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGNONTAXABLEAMOUNT/AFFILIATEDGROUPTOTALS,,,,X 5,X 11,X 148,X 69,X 191,X 2,X 154,X 260,X 22,,X 482,X 105,X 592,X 22,X 287,,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGNONTAXABLEAMOUNT/FILINGORGANIZATIONSTOTALS,,,X 59,X 38,X 78,X 823,X 759,X 2187,X 8,X 543,X 4201,X 151,,X 2887,X 2064,X 7598,X 167,X 1508,X 76,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGNONTAXABLEAMOUNTGRP/AFFILIATEDGROUPTOTALAMT,,,,,,,,,,,,,,,,,,,,X 244,X 208,X 877,X 711,X 1125,X 52,X 926
/RETURN/RETURNDATA/IRS990SCHEDULEC/LOBBYINGNONTAXABLEAMOUNTGRP/FILINGORGANIZATIONSTOTALAMT,,,,,,,,,,,,,,,,,,,,X 4860,X 3168,X 7388,X 12282,X 9580,X 2000,X 14139
/RETURN/RETURNDATA/IRS990SCHEDULEC/MAILINGSMEMBERS,X 2,,X 278,X 130,X 135,X 2383,X 2000,X 5904,X 58,X 2158,X 15420,X 3029,X 3,X 7773,X 2486,X 17171,X 402,X 3677,X 181,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/MAILINGSMEMBERSAMOUNT,,,X 25,X 14,X 17,X 185,X 133,X 469,X 2,X 131,X 700,X 82,,X 473,X 284,X 1326,X 13,X 380,X 11,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/MAILINGSMEMBERSAMT,,,,,,,,,,,,,,,,,,,,X 580,X 560,X 1546,X 1422,X 1822,X 93,X 1606
/RETURN/RETURNDATA/IRS990SCHEDULEC/MAILINGSMEMBERSIND,,,,,,,,,,,,,,,,,,,,X 6380,X 7956,X 16225,X 20250,X 20144,X 1578,X 22594
/RETURN/RETURNDATA/IRS990SCHEDULEC/MANAGERS4912TAXAMT,,,,,,,,,,,,,,,,,,,,X 32,,X 10,X 28,X 18,,X 26
/RETURN/RETURNDATA/IRS990SCHEDULEC/MEDIAADVERTISEMENTS,X 2,,X 278,X 131,X 135,X 2378,X 1998,X 5897,X 58,X 2158,X 15413,X 3029,X 3,X 7770,X 2486,X 17144,X 399,X 3677,X 181,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/MEDIAADVERTISEMENTSAMOUNT,,,X 2,X 1,X 2,X 33,X 27,X 50,X 2,X 32,X 75,X 2,,X 79,X 27,X 159,X 4,X 180,,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/MEDIAADVERTISEMENTSAMT,,,,,,,,,,,,,,,,,,,,X 88,X 200,X 460,X 422,X 601,,X 410
/RETURN/RETURNDATA/IRS990SCHEDULEC/MEDIAADVERTISEMENTSIND,,,,,,,,,,,,,,,,,,,,X 6364,X 7956,X 16205,X 20262,X 20108,X 1578,X 22554
/RETURN/RETURNDATA/IRS990SCHEDULEC/NONDEDLBBYNGPLTCLCYOVAMT,,,,,,,,,,,,,,,,,,,,X 2980,X 1612,X 1574,X 6802,X 2161,X 871,X 8135
/RETURN/RETURNDATA/IRS990SCHEDULEC/NONDEDLOBBYPOLITICALCARRYOVER,,,X 6,X 13,X 21,X 113,X 311,X 623,X 2,X 76,X 1905,X 94,,X 515,X 636,X 3224,X 39,X 374,X 21,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/NONDEDLOBBYPOLITICALCURRENT,,,X 8,X 31,X 48,X 297,X 923,X 1487,X 2,X 136,X 4734,X 160,,X 1257,X 1866,X 7413,X 199,X 1100,X 56,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/NONDEDLOBBYPOLITICALTOTAL,,,X 8,X 31,X 49,X 303,X 1266,X 1507,X 2,X 138,X 4828,X 160,,X 1266,X 1875,X 7606,X 202,X 1104,X 56,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/NONDEDUCTIBLELBBYNGPLTCLCYAMT,,,,,,,,,,,,,,,,,,,,X 6492,X 4444,X 3913,X 16743,X 5107,X 2572,X 18616
/RETURN/RETURNDATA/IRS990SCHEDULEC/NONDEDUCTIBLELBBYNGPLTCLTOTAMT,,,,,,,,,,,,,,,,,,,,X 6616,X 4544,X 3980,X 17108,X 5210,X 2643,X 19116
/RETURN/RETURNDATA/IRS990SCHEDULEC/NOTDESCRIBEDIN501C3,X 2,,X 240,X 116,X 130,X 2316,X 1837,X 5759,X 58,X 2096,X 14642,X 489,,X 7651,X 2269,X 16760,X 209,X 3601,X 181,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/NOTDESCRIBEDSECTION501C3IND,,,,,,,,,,,,,,,,,,,,X 6396,X 7332,X 15851,X 19451,X 19663,X 1578,X 21885
/RETURN/RETURNDATA/IRS990SCHEDULEC/ONLYINHOUSELOBBYING,,,X 70,X 88,X 117,X 789,X 3220,X 4619,X 58,X 951,X 20920,X 306,,X 4386,X 7332,X 24337,X 733,X 3308,X 133,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/ONLYINHOUSELOBBYINGIND,,,,,,,,,,,,,,,,,,,,X 19308,X 19456,X 13670,X 59811,X 18391,X 9625,X 67269
/RETURN/RETURNDATA/IRS990SCHEDULEC/ORGANIZATIONBELONGSAFFLTGRPIND,,,,,,,,,,,,,,,,,,,,X 140,X 204,X 632,X 499,X 691,X 95,X 492
/RETURN/RETURNDATA/IRS990SCHEDULEC/ORGANIZATIONBELONGSAFFLTGRPIND/@REFERENCEDOCUMENTID,,,,,,,,,,,,,,,,,,,,X 120,X 68,X 495,X 335,X 680,,X 387
/RETURN/RETURNDATA/IRS990SCHEDULEC/ORGANIZATIONBELONGSAFFLTGRPIND/#TEXT,,,,,,,,,,,,,,,,,,,,X 120,X 68,X 495,X 335,X 680,,X 387
/RETURN/RETURNDATA/IRS990SCHEDULEC/ORGBELONGSTOAFFILIATEDGROUP,,,X 1,X 2,X 5,X 96,X 62,X 143,,X 128,X 149,X 26,,X 344,X 105,X 397,X 6,X 180,X 6,,,,,,,
/RETURN/RETURNDATA/IRS990SCHEDULEC/ORGBELONGSTOAFFILIATEDGROUP/@REFERENCEDOCUMENTID,,,,,X 8,X 62,X 8,X 99,X 2,X 64,X 106,X 6,,X 214,,X 282,X 22,X 215,,,,,,,,
